WKT,PIXEL,X,Y
"POLYGON ((-79.861789295884 40.6685323656659,-79.862072125989 40.6775352536146,-79.8502468853025 40.6777500066318,-79.8499656375322 40.6687470903972,-79.861789295884 40.6685323656659))",159113,-79.85602,40.67314
"POLYGON ((-79.8499656375322 40.6687470903972,-79.8502468853025 40.6777500066318,-79.8384215692853 40.6779635541087,-79.8381419038798 40.668960609747,-79.8499656375322 40.6687470903972))",160113,-79.84419,40.67336
"POLYGON ((-79.8381419038798 40.668960609747,-79.8384215692853 40.6779635541087,-79.8265961783607 40.678175896034,-79.8263180953501 40.669172923704,-79.8381419038798 40.668960609747))",161113,-79.83237,40.67357
"POLYGON ((-79.8263180953501 40.669172923704,-79.8265961783607 40.678175896034,-79.814770712952 40.6783870323964,-79.8144942123663 40.6693840322568,-79.8263180953501 40.669172923704))",162113,-79.82054,40.67378
"POLYGON ((-79.8144942123663 40.6693840322568,-79.814770712952 40.6783870323964,-79.8029451734827 40.6785969631849,-79.8026702553517 40.6695939353943,-79.8144942123663 40.6693840322568))",163113,-79.80872,40.67399
"POLYGON ((-79.8026702553517 40.6695939353943,-79.8029451734827 40.6785969631849,-79.7911195603762 40.6788056883882,-79.7908462247293 40.6698026331055,-79.8026702553517 40.6695939353943))",164113,-79.79690,40.67420
"POLYGON ((-79.7908462247293 40.6698026331055,-79.7911195603762 40.6788056883882,-79.7792938740559 40.6790132079954,-79.7790221209225 40.6700101253793,-79.7908462247293 40.6698026331055))",165113,-79.78507,40.67441
"POLYGON ((-79.7790221209225 40.6700101253793,-79.7792938740559 40.6790132079954,-79.7674681149452 40.6792195219954,-79.7671979443546 40.6702164122046,-79.7790221209225 40.6700101253793))",166113,-79.77325,40.67461
"POLYGON ((-79.7671979443546 40.6702164122046,-79.7674681149452 40.6792195219954,-79.7556422834675 40.6794246303774,-79.7553736954488 40.6704214935707,-79.7671979443546 40.6702164122046))",167113,-79.76142,40.67482
"POLYGON ((-79.7553736954488 40.6704214935707,-79.7556422834675 40.6794246303774,-79.7438163800464 40.6796285331304,-79.7435493746285 40.6706253694665,-79.7553736954488 40.6704214935707))",168113,-79.74960,40.67503
"POLYGON ((-79.7435493746285 40.6706253694665,-79.7438163800464 40.6796285331304,-79.7319904051053 40.6798312302437,-79.7317249823168 40.6708280398814,-79.7435493746285 40.6706253694665))",169113,-79.73777,40.67523
"POLYGON ((-79.7317249823168 40.6708280398814,-79.7319904051053 40.6798312302437,-79.7201643590677 40.6800327217066,-79.7199005189372 40.6710295048047,-79.7317249823168 40.6708280398814))",170113,-79.72595,40.67543
"POLYGON ((-79.7199005189372 40.6710295048047,-79.7201643590677 40.6800327217066,-79.708338242357 40.6802330075084,-79.708075984913 40.6712297642256,-79.7199005189372 40.6710295048047))",171113,-79.71412,40.67563
"POLYGON ((-79.708075984913 40.6712297642256,-79.708338242357 40.6802330075084,-79.6965120553969 40.6804320876384,-79.6962513806675 40.6714288181335,-79.708075984913 40.6712297642256))",172113,-79.70229,40.67583
"POLYGON ((-79.6962513806675 40.6714288181335,-79.6965120553969 40.6804320876384,-79.6846857986109 40.6806299620862,-79.6844267066241 40.6716266665179,-79.6962513806675 40.6714288181335))",173113,-79.69047,40.67603
