PIXEL,X,Y,id
136116,-80.1270051000,40.6408768000,"136,116"
137116,-80.1151871999,40.6411185630,"137,116"
138116,-80.1033692151,40.6413591214,"138,116"
139116,-80.0915511460,40.6415984750,"139,116"
140116,-80.0797329930,40.6418366239,"140,116"
141116,-80.0679147565,40.6420735680,"141,116"
142116,-80.0560964370,40.6423093074,"142,116"
143116,-80.0442780348,40.6425438420,"143,116"
144116,-80.0324595505,40.6427771718,"144,116"
145116,-80.0206409844,40.6430092968,"145,116"
146116,-80.0088223369,40.6432402170,"146,116"
147116,-79.9970036085,40.6434699323,"147,116"
148116,-79.9851847996,40.6436984428,"148,116"
149116,-79.9733659107,40.6439257485,"149,116"
150116,-79.9615469420,40.6441518493,"150,116"
151116,-79.9497278941,40.6443767452,"151,116"
152116,-79.9379087674,40.6446004363,"152,116"
153116,-79.9260895623,40.6448229224,"153,116"
154116,-79.9142702793,40.6450442037,"154,116"
155116,-79.9024509186,40.6452642800,"155,116"
156116,-79.8906314809,40.6454831514,"156,116"
157116,-79.8788119664,40.6457008178,"157,116"
158116,-79.8669923757,40.6459172793,"158,116"
159116,-79.8551727091,40.6461325358,"159,116"
160116,-79.8433529671,40.6463465873,"160,116"
161116,-79.8315331500,40.6465594339,"161,116"
162116,-79.8197132584,40.6467710754,"162,116"
163116,-79.8078932926,40.6469815120,"163,116"
164116,-79.7960732530,40.6471907435,"164,116"
165116,-79.7842531402,40.6473987699,"165,116"
166116,-79.7724329544,40.6476055914,"166,116"
167116,-79.7606126961,40.6478112077,"167,116"
168116,-79.7487923658,40.6480156190,"168,116"
169116,-79.7369719639,40.6482188253,"169,116"
170116,-79.7251514908,40.6484208264,"170,116"
171116,-79.7133309468,40.6486216224,"171,116"
172116,-79.7015103325,40.6488212133,"172,116"
173116,-79.6896896483,40.6490195991,"173,116"
174116,-79.6778688946,40.6492167798,"174,116"
133117,-80.1621354213,40.6311420999,"133,117"
134117,-80.1503193580,40.6313874447,"134,117"
135117,-80.1385032087,40.6316315850,"135,117"
136117,-80.1266869739,40.6318745207,"136,117"
137117,-80.1148706539,40.6321162519,"137,117"
138117,-80.1030542493,40.6323567786,"138,117"
139117,-80.0912377604,40.6325961007,"139,117"
140117,-80.0794211876,40.6328342182,"140,117"
141117,-80.0676045314,40.6330711311,"141,117"
142117,-80.0557877922,40.6333068394,"142,117"
143117,-80.0439709704,40.6335413431,"143,117"
144117,-80.0321540664,40.6337746422,"144,117"
145117,-80.0203370807,40.6340067366,"145,117"
146117,-80.0085200137,40.6342376264,"146,117"
147117,-79.9967028657,40.6344673115,"147,117"
148117,-79.9848856373,40.6346957919,"148,117"
149117,-79.9730683289,40.6349230676,"149,117"
150117,-79.9612509408,40.6351491386,"150,117"
151117,-79.9494334735,40.6353740049,"151,117"
152117,-79.9376159274,40.6355976665,"152,117"
153117,-79.9257983030,40.6358201233,"153,117"
154117,-79.9139806006,40.6360413754,"154,117"
155117,-79.9021628207,40.6362614227,"155,117"
156117,-79.8903449637,40.6364802653,"156,117"
157117,-79.8785270300,40.6366979031,"157,117"
158117,-79.8667090201,40.6369143360,"158,117"
159117,-79.8548909343,40.6371295642,"159,117"
160117,-79.8430727731,40.6373435875,"160,117"
161117,-79.8312545370,40.6375564060,"161,117"
162117,-79.8194362263,40.6377680197,"162,117"
163117,-79.8076178415,40.6379784285,"163,117"
164117,-79.7957993829,40.6381876324,"164,117"
165117,-79.7839808510,40.6383956315,"165,117"
166117,-79.7721622463,40.6386024257,"166,117"
167117,-79.7603435691,40.6388080150,"167,117"
168117,-79.7485248199,40.6390123993,"168,117"
169117,-79.7367059991,40.6392155788,"169,117"
170117,-79.7248871072,40.6394175533,"170,117"
171117,-79.7130681444,40.6396183229,"171,117"
172117,-79.7012491114,40.6398178875,"172,117"
173117,-79.6894300084,40.6400162472,"173,117"
174117,-79.6776108359,40.6402134019,"174,117"
131118,-80.1854413494,40.6216456597,"131,118"
132118,-80.1736270388,40.6218933809,"132,118"
133118,-80.1618126414,40.6221398977,"133,118"
134118,-80.1499981577,40.6223852102,"134,118"
135118,-80.1381835881,40.6226293183,"135,118"
136118,-80.1263689329,40.6228722220,"136,118"
137118,-80.1145541927,40.6231139214,"137,118"
138118,-80.1027393678,40.6233544164,"138,118"
139118,-80.0909244586,40.6235937069,"139,118"
140118,-80.0791094657,40.6238317931,"140,118"
141118,-80.0672943893,40.6240686748,"141,118"
142118,-80.0554792300,40.6243043521,"142,118"
143118,-80.0436639881,40.6245388249,"143,118"
144118,-80.0318486641,40.6247720932,"144,118"
145118,-80.0200332583,40.6250041570,"145,118"
146118,-80.0082177713,40.6252350164,"146,118"
147118,-79.9964022034,40.6254646712,"147,118"
148118,-79.9845865551,40.6256931215,"148,118"
149118,-79.9727708267,40.6259203673,"149,118"
150118,-79.9609550188,40.6261464085,"150,118"
151118,-79.9491391317,40.6263712452,"151,118"
152118,-79.9373231658,40.6265948773,"152,118"
153118,-79.9255071216,40.6268173049,"153,118"
154118,-79.9136909994,40.6270385278,"154,118"
155118,-79.9018747998,40.6272585461,"155,118"
156118,-79.8900585231,40.6274773599,"156,118"
157118,-79.8782421698,40.6276949690,"157,118"
158118,-79.8664257403,40.6279113734,"158,118"
159118,-79.8546092349,40.6281265732,"159,118"
160118,-79.8427926542,40.6283405684,"160,118"
161118,-79.8309759986,40.6285533588,"161,118"
162118,-79.8191592684,40.6287649446,"162,118"
163118,-79.8073424640,40.6289753257,"163,118"
164118,-79.7955255860,40.6291845021,"164,118"
165118,-79.7837086348,40.6293924737,"165,118"
166118,-79.7718916107,40.6295992407,"166,118"
167118,-79.7600745142,40.6298048029,"167,118"
168118,-79.7482573457,40.6300091603,"168,118"
169118,-79.7364401056,40.6302123130,"169,118"
170118,-79.7246227943,40.6304142609,"170,118"
171118,-79.7128054124,40.6306150040,"171,118"
172118,-79.7009879601,40.6308145424,"172,118"
173118,-79.6891704379,40.6310128759,"173,118"
174118,-79.6773528463,40.6312100046,"174,118"
130119,-80.1969281419,40.6123946108,"130,119"
131119,-80.1851154976,40.6126435034,"131,119"
